quantile_layer,min,max,count,avg_profit
0,0.0003411639253739,0.003281043910809,2347,-1.5876813532544254
1,0.0032834422378697,0.0063256298082148,7155,-0.1740226551422498
2,0.0063259927563355,0.0096311768629653,10016,0.2526270951310471
3,0.0096311780552328,0.0167961108546556,21464,0.15451252884584868
4,0.0167963561641378,0.0315140670603972,28619,0.5605799180404685
5,0.0315143029047803,0.0673125694258132,28619,0.2981069921834021
6,0.0673158518104198,0.1637410893717186,21464,0.8718014484493163
7,0.1637443180072063,0.3677047473887883,10016,-1.3506429372697786
8,0.3677150196431502,1.0012753326823003,7155,-1.6329014028079745
9,1.0021906289892275,16.842561881518062,2862,-2.0317858244147264
10,16.891754212756226,15378.227618804623,1431,-7.008510937203766
