date,FCT_Dmi_Adxr@10
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-22,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,35.96575428591204
2011-05-30,36.216048915240286
2011-05-31,37.88271558190695
2011-06-01,39.92193126818147
2011-06-02,40.784797215793176
2011-06-03,41.312051418544065
2011-06-07,42.272051418544066
2011-06-08,42.89406098792205
2011-06-09,45.9770020014917
2011-06-10,50.35349507363695
2011-06-13,53.110745342165416
2011-06-14,53.02576171515777
2011-06-15,53.756893790629476
2011-06-16,54.717104660467555
2011-06-17,54.63596217426178
2011-06-20,53.45307929137889
2011-06-21,52.791032205053966
2011-06-22,52.35353999515741
2011-06-23,51.24639713801455
2011-06-24,49.726645942730705
2011-06-27,47.4572142751545
2011-06-28,45.89452959807556
2011-06-29,45.58445207869572
2011-06-30,43.85859538087641
2011-07-01,41.529552742099256
2011-07-04,39.51323572578223
2011-07-05,38.2548087594901
2011-07-06,37.77078620309912
2011-07-07,35.71701045939203
2011-07-08,31.896386638768206
2011-07-11,28.715100089060602
2011-07-12,26.977870452613296
2011-07-13,25.732032494788655
2011-07-14,23.988353331754656
2011-07-15,22.506452879265968
2011-07-18,20.786161158974245
2011-07-19,18.930519566053896
2011-07-20,18.821201502545307
2011-07-21,20.65636633771014
2011-07-22,23.007787526340636
2011-07-25,24.772100885475822
2011-07-26,25.389669652112914
2011-07-27,25.563692749724055
2011-07-28,26.764726752507904
2011-07-29,28.175007302310203
2011-08-01,29.84167396897687
2011-08-02,30.77451953992017
2011-08-03,31.304981724794114
2011-08-04,31.143038404956062
2011-08-05,33.13216039407805
2011-08-08,31.670944461164005
2011-08-09,34.52923180316151
2011-08-10,36.89612746653635
2011-08-11,39.55378512419401
2011-08-12,42.024001058669064
2011-08-15,44.82389697331908
2011-08-16,47.96934089855272
2011-08-17,49.49458816560113
2011-08-18,51.13856365913415
2011-08-19,53.032917028897344
2011-08-22,55.62441788863698
2011-08-23,58.80783443218792
2011-08-24,61.991250975738865
2011-08-25,64.07128684798315
2011-08-26,66.14334827708574
2011-08-29,67.21014127109555
2011-08-30,68.13735685023057
2011-08-31,67.75336937184699
2011-09-01,68.96851597513776
2011-09-02,68.41691523065182
2011-09-05,70.00278777535468
2011-09-06,68.7913542968538
2011-09-07,67.75265657932397
2011-09-08,65.6938330499122
2011-09-09,63.452543737632425
2011-09-13,61.45582242615703
2011-09-14,58.256499190578566
2011-09-15,56.067777231327675
2011-09-16,52.64547254011059
2011-09-19,48.25111917034741
2011-09-20,44.49842105132178
2011-09-21,40.1177255962062
2011-09-22,37.48703014109062
2011-09-23,36.2820994497575
2011-09-26,35.62663560746525
2011-09-27,35.29410834772117
2011-09-28,35.13284113641203
2011-09-29,36.433783632096656
2011-09-30,38.1428050593569
2011-10-10,38.48863456358882
2011-10-11,39.38417997200205
2011-10-12,40.85641299332444
2011-10-13,41.801395506103546
2011-10-14,43.20015302891466
2011-10-17,44.89564133398062
2011-10-18,46.41657156653875
2011-10-19,48.835675995366984
2011-10-20,50.252827158157714
2011-10-21,52.15134866353408
2011-10-24,54.165237552422944
2011-10-25,54.938559974681574
2011-10-26,56.24554284688184
2011-10-27,55.828876180215175
2011-10-28,53.923807073808916
2011-10-31,51.254254404256244
2011-11-01,47.914667162229975
2011-11-02,44.87659904032762
2011-11-03,42.83664937062017
2011-11-04,40.94456483446422
2011-11-07,39.114026885124375
2011-11-08,37.29584506694256
2011-11-09,35.035796919569755
2011-11-10,33.23736800539901
2011-11-11,30.897434011999664
2011-11-14,29.02985058227769
2011-11-15,27.089062193691163
2011-11-16,25.753749526569607
2011-11-17,24.28366197793146
2011-11-18,22.026717533487
2011-11-21,20.210336037922993
2011-11-22,18.59861442620138
2011-11-23,17.19267322066779
2011-11-24,16.814666347815553
2011-11-25,17.03611963501279
2011-11-28,18.744715022853455
2011-11-29,23.051335231912645
2011-11-30,22.971617026499196
2011-12-01,21.601711070386358
2011-12-02,20.49270449906824
2011-12-05,20.882816748347498
2011-12-06,20.191030464455928
2011-12-07,19.407238224155552
2011-12-08,18.79420748742824
2011-12-09,19.415489771945452
2011-12-12,19.19426386504282
2011-12-13,18.51967345438434
2011-12-14,19.55831832469864
2011-12-15,22.332477096315245
2011-12-16,24.01629353175329
2011-12-19,25.610589278186808
2011-12-20,26.221172222397207
2011-12-21,26.638544701330794
2011-12-22,26.026418112653392
2011-12-23,26.202888700888707
2011-12-26,24.816600352912367
2011-12-27,20.81175773790033
2011-12-28,21.27149001790913
2011-12-29,23.088171420797398
2011-12-30,23.904452227369447
2012-01-04,24.692840309875187
2012-01-05,25.627050836190996
2012-01-06,27.413165057915485
2012-01-09,29.69936181137446
2012-01-10,31.5447461935239
2012-01-11,35.255305904450914
2012-01-12,39.13709624328965
2012-01-13,39.74346030526122
2012-01-16,37.884031939425554
2012-01-17,37.96309570262186
2012-01-18,38.06998537332092
2012-01-19,40.27138929282147
2012-01-20,41.850411044657065
2012-01-30,44.00520314072482
2012-01-31,45.73722928451561
2012-02-01,46.720680557708846
2012-02-02,48.059541672207025
2012-02-03,49.499450969259186
2012-02-06,51.09628232218809
2012-02-07,52.788937024551515
2012-02-08,54.25472896457023
2012-02-09,55.397586107427344
2012-02-10,54.98875152096117
2012-02-13,52.3494422811535
2012-02-14,49.96120698703591
2012-02-15,46.1637386326055
2012-02-16,43.076396860453656
2012-02-17,40.9475613353918
2012-02-20,41.85943256275604
2012-02-21,42.48620228801822
2012-02-22,42.55973169978296
2012-02-23,42.25581586109213
2012-02-24,41.05679266206895
2012-02-27,38.30239043778724
2012-02-28,35.86264370576116
2012-02-29,34.93882983714805
2012-03-01,35.9313419499068
2012-03-02,36.8757863943512
2012-03-05,34.98369474616196
2012-03-06,32.68355044601762
2012-03-07,29.614654293138663
2012-03-08,27.78825284648417
2012-03-09,26.277009460240873
2012-03-12,26.89977368788316
2012-03-13,27.515406242274814
2012-03-14,29.232749319398735
2012-03-15,30.554971541620947
2012-03-16,32.777193763843144
2012-03-19,32.726991560524205
2012-03-20,32.45855375783975
2012-03-21,31.54188709117303
2012-03-22,29.978598234339287
2012-03-23,30.424124929865958
2012-03-26,31.325462722508068
2012-03-27,31.878218098852084
2012-03-28,32.06571809885202
2012-03-29,29.541385288804914
2012-03-30,26.454083701503315
2012-04-05,24.651053398473103
2012-04-06,24.01050040308145
2012-04-09,25.735810279130973
2012-04-10,28.388104582928356
2012-04-11,31.171669397743027
2012-04-12,34.035161461235035
2012-04-13,36.9266831198799
2012-04-16,38.86513235366663
2012-04-17,40.4178706045954
2012-04-18,41.41828960387252
2012-04-19,42.39590359462049
2012-04-20,42.99103949754179
2012-04-23,45.37931357336009
2012-04-24,47.95914510116174
2012-04-25,50.52428047362757
2012-04-26,53.63408150531518
2012-04-27,56.07337043511935
2012-05-02,58.34122757797659
2012-05-03,61.64704371306111
2012-05-04,64.94605701207449
2012-05-07,67.83764277259226
2012-05-08,71.14900322140014
2012-05-09,72.35694109888071
2012-05-10,72.3881910988807
2012-05-11,72.87182205126167
2012-05-14,73.23257241201202
2012-05-15,73.89698682642643
2012-05-16,74.6539701044168
2012-05-17,75.46521652781749
2012-05-18,75.9460332433527
2012-05-21,75.70095872276798
2012-05-22,75.96751668154056
2012-05-23,75.99590927238899
2012-05-24,76.3387344438398
2012-05-25,75.96299301076795
2012-05-28,72.91659777618182
2012-05-29,69.91034892457901
2012-05-30,66.63944300123399
2012-05-31,63.505156485955
2012-06-01,60.364873345671796
2012-06-04,60.37804948991587
2012-06-05,59.60993354788685
2012-06-06,58.820459863676305
2012-06-07,57.78045986367631
2012-06-08,56.994745577962064
2012-06-11,56.74999033320684
2012-06-12,56.41084304638517
2012-06-13,56.07373076292653
2012-06-14,55.75306058953868
2012-06-15,55.45655351708212
2012-06-18,54.52186883239746
2012-06-19,53.900073960602626
2012-06-20,52.514415045873974
2012-06-21,51.90821024952834
2012-06-25,51.655336686309965
2012-06-26,54.22812785096862
2012-06-27,56.9036636972362
2012-06-28,60.05238916945336
2012-06-29,63.13693242414183
2012-07-02,64.51422180143125
2012-07-03,62.73547615683198
2012-07-04,59.96723842695742
2012-07-05,57.968847252514784
2012-07-06,56.10593463115557
2012-07-09,53.755057438173125
2012-07-10,50.8429695260852
2012-07-11,47.165793788851886
2012-07-12,45.0103488088073
2012-07-13,44.02764036847172
2012-07-16,41.03153369712135
2012-07-17,38.3322583348025
2012-07-18,36.804741357986046
2012-07-19,35.66239727250398
2012-07-20,34.450727548191225
2012-07-23,33.729589208864844
2012-07-24,32.9962301033734
2012-07-25,32.896754246199116
2012-07-26,34.060525174187006
2012-07-27,35.07873092249236
2012-07-30,37.61263816466847
2012-07-31,40.357194358032004
2012-08-01,43.086632590017715
2012-08-02,45.83401161871137
2012-08-03,48.41019156680327
2012-08-06,49.53379603251302
2012-08-07,49.8397300984471
2012-08-08,50.03029554674451
2012-08-09,49.409565505752894
2012-08-10,47.54778985450356
2012-08-13,47.468835993166266
2012-08-14,48.251444688818445
2012-08-15,49.50935382249766
2012-08-16,50.74637321615104
2012-08-17,51.31361030692673
2012-08-20,51.16812535412562
2012-08-21,51.45604071279881
2012-08-22,52.22242775036311
2012-08-23,51.85774757250637
2012-08-24,51.982329348567504
2012-08-27,52.416370824340135
2012-08-28,52.874081199096835
2012-08-29,54.33077411248267
2012-08-30,55.82675052073979
2012-08-31,58.03002640388365
2012-09-03,61.590632464489715
2012-09-04,65.3506324644897
2012-09-05,69.59305670691396
2012-09-06,73.10369500478632
2012-09-07,75.4005910911561
2012-09-10,76.17257223856389
2012-09-11,76.3647430570692
2012-09-12,73.8458893617449
2012-09-13,72.34431977681291
2012-09-14,71.21561357735199
2012-09-17,69.77405432708733
2012-09-18,69.06148623561162
2012-09-19,68.8582437544086
2012-09-20,67.73071457969615
2012-09-21,65.38077843665656
2012-09-24,62.22256587627006
2012-09-25,59.25343797756467
2012-09-26,55.167972098299565
2012-09-27,51.70809555508968
2012-09-28,47.42129593495672
2012-10-08,44.107010220671
2012-10-09,41.13265124631203
2012-10-10,38.48424941982802
2012-10-11,36.95793363035433
2012-10-12,37.511829572599794
2012-10-15,39.952357309342716
2012-10-16,43.08222038914248
2012-10-17,47.95401526093735
2012-10-18,51.9965684524267
2012-10-19,54.30508824588625
2012-10-22,56.43477180247721
2012-10-23,56.11119294231301
2012-10-24,53.41908228657532
2012-10-25,51.52674411228502
2012-10-26,49.81761979038174
2012-10-29,49.93472586884262
2012-10-30,50.04630948013126
2012-10-31,52.59622616205458
2012-11-01,53.250428584061176
2012-11-02,54.35091864859611
2012-11-05,53.61378525167934
2012-11-06,52.764192628281364
2012-11-07,52.23448095270274
2012-11-08,51.33655431793398
2012-11-09,48.42834602137614
2012-11-12,44.11010670946112
2012-11-13,40.04231009929164
2012-11-14,35.36941290302997
2012-11-15,30.730237645297997
2012-11-16,27.212805083191164
2012-11-19,24.223412604888367
2012-11-20,22.33644711136548
2012-11-21,23.33746263435982
2012-11-22,25.844263572429934
2012-11-23,28.350617484666238
2012-11-26,28.785134819305018
2012-11-27,28.369951833994477
2012-11-28,25.84375627418339
2012-11-29,24.43660399966939
2012-11-30,24.837279436299955
2012-12-03,24.43491703489739
2012-12-04,23.758868632654337
2012-12-05,22.34681820029075
2012-12-06,20.41208626555885
2012-12-07,19.124207477680066
2012-12-10,20.48683013602085
2012-12-11,22.038148403440793
2012-12-12,23.864330271235303
2012-12-13,26.97808180015368
2012-12-14,31.281344248971536
2012-12-17,35.712861964465986
2012-12-18,40.18724004540144
2012-12-19,42.9540066657481
2012-12-20,43.12864891840236
2012-12-21,43.76384705360051
2012-12-24,44.57556440601555
2012-12-25,46.69866592480053
2012-12-26,49.87894368412009
2012-12-27,53.25563091036486
2012-12-28,54.92942770180872
2012-12-31,58.43298297006987
2013-01-04,61.969680217776286
2013-01-07,65.63879152062357
2013-01-08,69.03706718964159
2013-01-09,72.93805379993051
2013-01-10,75.59445896378355
2013-01-11,76.07000939901141
2013-01-14,76.37574112092119
2013-01-15,74.68872961657416
2013-01-16,70.75816218939289
2013-01-17,66.69477792227349
2013-01-18,62.150377598978686
2013-01-21,58.11731974773903
2013-01-22,55.022340100520594
2013-01-23,52.13630584492111
2013-01-24,49.88503438910419
2013-01-25,48.222637477365275
2013-01-28,45.4616606842869
2013-01-29,42.760054458090494
2013-01-30,42.05784857573752
2013-01-31,40.78585259785919
2013-02-01,38.792633611022296
2013-02-04,36.475591004505986
2013-02-05,34.8321230277956
2013-02-06,32.414518626695326
2013-02-07,28.608780086862097
2013-02-08,26.499917550827416
2013-02-18,25.267595389503587
2013-02-19,25.741054306054654
2013-02-20,28.099353731832238
2013-02-21,31.062082129590117
2013-02-22,34.98967160979423
2013-02-25,39.353307973430574
2013-02-26,43.716944337066934
2013-02-27,47.890857380545185
2013-02-28,51.242556186789464
2013-03-01,53.6568515797434
2013-03-04,56.730033195093725
2013-03-05,59.375610380886094
