quantile_layer,min,max,count,avg_profit
0,-1.0,-0.5522388059701552,1265,-55.506741468709784
1,-0.5522388059701498,-0.4807017543859689,2529,-60.29755784065243
2,-0.4807017543859599,-0.3904761904761916,6322,-53.966725052887014
3,-0.3904761904761915,-0.3010989010989005,8851,-42.328667388400355
4,-0.3010989010988987,-0.152748037116333,18967,-26.63734445760862
5,-0.1527377521613823,0.0181818181818142,25289,-9.054235178860612
6,0.0181818181818143,0.1888667992047721,25289,9.197433199099999
7,0.1888782358581007,0.3376623376623349,18967,27.536813708142425
8,0.337662337662338,0.4251497005988029,8851,42.90654503060806
9,0.4251497005988033,0.5177570093457884,6322,51.49390977808868
10,0.5177664974619287,0.5900621118012422,2529,56.79051799970667
11,0.5901060070671315,1.0,1265,54.614330161848486
