date,FCT_Br_1@20
2012-07-16,
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,
2012-07-23,
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,-0.43037974683544306
2012-08-13,-0.40809968847352024
2012-08-14,-0.40372670807453415
2012-08-15,-0.2696629213483146
2012-08-16,-0.2696629213483146
2012-08-17,-0.2696629213483146
2012-08-20,-0.2696629213483146
2012-08-21,-0.2661064425770308
2012-08-22,-0.2661064425770308
2012-08-23,-0.2661064425770308
2012-08-24,-0.2661064425770308
2012-08-27,-0.2661064425770308
2012-08-28,-0.2661064425770308
2012-08-29,-0.2661064425770308
2012-08-30,-0.2661064425770308
2012-08-31,-0.2661064425770308
2012-09-03,-0.42857142857142855
2012-09-04,1.0
2012-09-05,1.0
2012-09-06,1.0
2012-09-07,1.0
2012-09-10,1.0
2012-09-11,1.0
2012-09-12,1.0
2012-09-13,1.0
2012-09-14,1.0
2012-09-17,1.0
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,
2012-10-08,
2012-10-09,
2012-10-10,0.2985781990521327
2012-10-11,0.3037974683544304
2012-10-12,0.021487603305785124
2012-10-15,0.021487603305785124
2012-10-16,0.0673595133053338
2012-10-17,0.0210873167231634
2012-10-18,0.042556513724158467
2012-10-19,0.042556513724158467
2012-10-22,0.042556513724158467
2012-10-23,0.04103440502076258
2012-10-24,0.004375280646609533
2012-10-25,0.005775710515525859
2012-10-26,-0.12365312288930436
2012-10-29,-0.12299757305426033
2012-10-30,-0.12401504546370662
2012-10-31,-0.12401504546370662
2012-11-01,-0.05357568333976545
2012-11-02,-0.09447496474814647
2012-11-05,-0.17713420965240223
2012-11-06,-0.22303321952416147
2012-11-07,-0.28749592014575215
2012-11-08,-0.48280329163988356
2012-11-09,-0.40425531914893725
2012-11-12,-0.49397590361445887
2012-11-13,-0.5899772209567218
2012-11-14,-0.4966442953020154
2012-11-15,-0.45593035908596574
2012-11-16,-0.512195121951222
2012-11-19,-0.45539906103286654
2012-11-20,-0.45488721804511545
2012-11-21,-0.40789473684210714
2012-11-22,-0.4243219597550333
2012-11-23,-0.3278688524590191
2012-11-26,-0.34667879890810077
2012-11-27,-0.3285841495992903
2012-11-28,-0.3315926892950418
2012-11-29,-0.42052679382379926
2012-11-30,-0.4254032258064558
2012-12-03,-0.3040614709110882
2012-12-04,-0.264501160092809
2012-12-05,-0.23863636363636345
2012-12-06,-0.20220994475138043
2012-12-07,-0.1742081447963797
2012-12-10,-0.038208168642950645
2012-12-11,0.07195301027900262
2012-12-12,-0.19799498746867028
2012-12-13,-0.22564102564102176
2012-12-14,3.6972755070819586e-15
2012-12-17,-0.04252400548696395
2012-12-18,-0.06900878293600624
2012-12-19,-0.10606060606059803
2012-12-20,-0.1194805194805111
2012-12-21,-0.16755319148935804
2012-12-24,-0.07589880159786631
2012-12-25,-0.06892067620285658
2012-12-26,-0.03626943005180898
2012-12-27,0.06734434561626942
2012-12-28,0.025462962962968457
2012-12-31,-0.01785714285713582
2013-01-04,0.050301810865196084
2013-01-07,0.011959521619140396
2013-01-08,-0.026978417266181522
2013-01-09,-0.011514614703271654
2013-01-10,0.05385252692626851
2013-01-11,0.04928457869634752
2013-01-14,0.25406330196749655
2013-01-15,0.2565180824222053
2013-01-16,0.21285838401390555
2013-01-17,0.2124352331606257
2013-01-18,0.24551971326165198
2013-01-21,0.25357142857142967
2013-01-22,0.3142329020332748
2013-01-23,0.33647502356268255
2013-01-24,0.22242647058824241
2013-01-25,0.23589269195190274
2013-01-28,0.21229050279330208
2013-01-29,0.1826923076923134
2013-01-30,0.2604698672114458
2013-01-31,0.29787234042553645
2013-02-01,0.26266195524146996
2013-02-04,0.31224209078405624
2013-02-05,0.3041018387553165
2013-02-06,0.276595744680862
2013-02-07,0.14461538461539472
2013-02-08,0.14102564102565274
2013-02-18,-0.020761245674728254
2013-02-19,0.017006802721099747
2013-02-20,-0.04777594728170687
2013-02-21,-0.1354838709677346
2013-02-22,-0.11290322580643916
2013-02-25,-0.23416789396169724
2013-02-26,-0.2478386167146858
2013-02-27,-0.2191011235954958
2013-02-28,0.10487804878049786
2013-03-01,0.04211793020458141
2013-03-04,0.06151990349819963
2013-03-05,0.06377858002407645
2013-03-06,0.04242424242425216
2013-03-07,0.0012330456226982386
2013-03-08,0.1269841269841326
2013-03-11,0.08636363636363799
2013-03-12,0.08248587570621622
2013-03-13,0.05530973451327737
2013-03-14,0.0419806243272363
2013-03-15,0.07855626326964149
2013-03-18,0.0706006322444691
2013-03-19,0.04442036836403303
2013-03-20,0.07070707070707283
2013-03-21,0.1460928652321643
2013-03-22,0.10786516853932648
2013-03-25,0.2541567695961985
2013-03-26,0.3086124401913836
2013-03-27,0.31211750305997227
2013-03-28,0.08245877061468955
2013-03-29,0.07219662058371405
2013-04-01,0.014792899408282888
2013-04-02,-0.021961932650076246
