date,FCT_Bias_1@5
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,
2018-12-03,
2018-12-04,-0.2811839323467221
2018-12-05,0.22815533980582745
2018-12-06,0.25888324873096563
2018-12-07,0.30348258706467773
2018-12-10,0.32666666666666516
2018-12-11,-0.3401360544217687
2018-12-12,0.04166666666666322
2018-12-13,-0.07017543859648724
2018-12-14,0.010152284263961699
2018-12-17,0.10919540229885581
2018-12-18,-0.08759124087591573
2018-12-19,-0.8170731707317129
2018-12-20,-0.6225165562913968
2018-12-21,-0.6783216783216814
2018-12-24,-1.0747126436781635
2018-12-25,-0.42702702702703194
2018-12-26,-0.9717514124293811
2018-12-27,-0.425531914893617
2018-12-28,0.7079646017699115
2019-01-02,0.8552631578947368
2019-01-03,0.7129629629629671
2019-01-04,0.7919999999999981
2019-01-07,0.6406250000000036
2019-01-08,0.35426008968610273
2019-01-09,1.2758620689655154
2019-01-10,0.5486111111111095
2019-01-11,0.8032786885245865
2019-01-14,0.2295719844358012
2019-01-15,-0.412408759124086
2019-01-16,0.30973451327433627
2019-01-17,0.21078431372548798
2019-01-18,0.7142857142857143
2019-01-21,1.0894308943089412
2019-01-22,0.4980694980695016
2019-01-23,0.3927125506072893
2019-01-24,-0.22463768115942193
2019-01-25,-0.1504065040650425
2019-01-28,-0.7351778656126446
2019-01-29,-0.6576576576576536
2019-01-30,-0.42081447963800694
2019-01-31,0.6974789915966348
2019-02-01,1.0000000000000036
2019-02-11,0.2162162162162127
2019-02-12,0.6971830985915477
2019-02-13,0.02295081967213264
2019-02-14,-0.3344827586206912
2019-02-15,-0.40530303030303205
2019-02-18,-0.041841004184100423
2019-02-19,0.7758620689655172
2019-02-20,0.4933333333333293
2019-02-21,1.2966101694915215
2019-02-22,1.241935483870966
2019-02-25,0.3039999999999964
2019-02-26,-0.11475409836065388
2019-02-27,-0.46351931330471907
2019-02-28,-0.5825242718446602
2019-03-01,0.1927083333333357
2019-03-04,-0.18859649122806818
2019-03-05,-0.049549549549545456
2019-03-06,-0.07339449541283986
2019-03-07,-0.8421052631578967
2019-03-08,-1.0368852459016376
2019-03-11,-0.6157407407407386
2019-03-12,-0.3756097560975632
2019-03-13,-0.21327014218009477
2019-03-14,-0.3750000000000024
2019-03-15,0.04444444444444192
2019-03-18,0.23926380368098715
2019-03-19,0.3954802259887006
2019-03-20,-0.8863636363636364
