quantile_layer,min,max,count,avg_profit
0,17.979521618372324,32.65864241951781,1142,-1.4712633992282618
1,32.66147458513122,34.20328255054355,2282,2.059869026226113
2,34.20474098971268,36.7903017380627,5705,-0.8377278324104903
3,36.791181264663024,40.149763541526205,7987,-1.0143018826867924
4,40.15050047754068,47.00705619392325,17115,-0.7111208608206683
5,47.00760233918137,56.19957899018059,22820,0.20063934994756266
6,56.20002858476879,67.15572715572671,22820,1.5070504811769012
7,67.15592315268782,78.81106062768194,17115,-1.3578508567977685
8,78.8115246098441,86.7542929828282,7987,-3.6906668438439105
9,86.75447092100801,94.73641969844492,5705,0.39437965726824936
10,94.73684210526316,100.0,3424,9.792037483890702
