quantile_layer,min,max,count,avg_profit
0,-1.2085889570552035,-1.0000000000000089,1215,-111.41691714425737
1,-1.0000000000000084,-0.8942857142856979,2428,-97.96087678802517
2,-0.8942731277533048,-0.7386615281718597,6070,-90.1058151302966
3,-0.7386420519165534,-0.5738758029978549,8498,-69.75870816948469
4,-0.5738562091503299,-0.2968749999999986,18211,-44.87857498875556
5,-0.2968749999999966,0.0112994350282441,24281,-14.955769173452678
6,0.0112994350282467,0.3267716535433045,24280,18.305537942647852
7,0.3267716535433085,0.5979381443298968,18211,42.50898954636281
8,0.5979591836734699,0.7605531295487606,8498,68.01708734972637
9,0.7605633802816867,0.9118869492934296,6070,88.39208997817904
10,0.9118942731277492,1.0168195718654487,2428,97.68725829681102
11,1.0168302945301555,1.3106134371957148,1215,101.15594898179187
