date,FCT_Cmf_1@120
2011-03-24,
2011-03-25,
2011-03-28,
2011-03-29,
2011-03-30,
2011-03-31,
2011-04-01,
2011-04-06,
2011-04-07,
2011-04-08,
2011-04-11,
2011-04-12,
2011-04-13,
2011-04-14,
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-22,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,
2011-05-30,
2011-05-31,
2011-06-01,
2011-06-02,
2011-06-03,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-13,
2011-06-14,
2011-06-15,
2011-06-16,
2011-06-17,
2011-06-20,
2011-06-21,
2011-06-22,
2011-06-23,
2011-06-24,
2011-06-27,
2011-06-28,
2011-06-29,
2011-06-30,
2011-07-01,
2011-07-04,
2011-07-05,
2011-07-06,
2011-07-07,
2011-07-08,
2011-07-11,
2011-07-12,
2011-07-13,
2011-07-14,
2011-07-15,
2011-07-18,
2011-07-19,
2011-07-20,
2011-07-21,
2011-07-22,
2011-07-25,
2011-07-26,
2011-07-27,
2011-07-28,
2011-07-29,
2011-08-01,
2011-08-02,
2011-08-03,
2011-08-04,
2011-08-05,
2011-08-08,
2011-08-09,
2011-08-10,
2011-08-11,
2011-08-12,
2011-08-15,
2011-08-16,
2011-08-17,
2011-08-18,
2011-08-19,
2011-08-22,
2011-08-23,
2011-08-24,
2011-08-25,
2011-08-26,
2011-08-29,
2011-08-30,
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-05,
2011-09-06,
2011-09-07,
2011-09-08,
2011-09-09,
2011-09-13,
2011-09-14,-0.18132181671073586
2011-09-15,-0.08049212707661967
2011-09-16,-0.06186524842932086
2011-09-19,-0.03599621893168553
2011-09-20,-0.053261208408458466
2011-09-21,-0.048734539558139806
2011-09-22,-0.052779715257305584
2011-09-23,-0.057292491905537035
2011-09-26,-0.09852849733855411
2011-09-27,-0.07703917942976718
2011-09-28,-0.0887041170429139
2011-09-29,-0.059608794692939546
2011-09-30,-0.027480000640100883
2011-10-10,-0.04253406954592369
2011-10-11,-0.0379107230643713
2011-10-12,-0.020408180177244464
2011-10-13,-0.0204131547733001
2011-10-14,0.009752829374881724
2011-10-17,0.0007955216756846867
2011-10-18,0.0034912757784756904
2011-10-19,0.008872893895802047
2011-10-20,0.017249033493631823
2011-10-21,0.00911865781362074
2011-10-24,0.01929120497719403
2011-10-25,0.01026885512595959
2011-10-26,0.016088347638417055
2011-10-27,0.01983661999460427
2011-10-28,0.020078173100044415
2011-10-31,0.026458535983037445
2011-11-01,0.03929910451254841
2011-11-02,0.029298917618206587
2011-11-03,0.022929218306541023
2011-11-04,0.0369586847841505
2011-11-07,0.057648537180951955
2011-11-08,0.043029276505477713
2011-11-09,0.04336216665179521
2011-11-10,0.024071332831719933
2011-11-11,0.03161871177112614
2011-11-14,0.0569857504703222
