quantile_layer,min,max,count,avg_profit
0,-195.6637101053755,-164.4171779141101,1265,-63.14072136987459
1,-164.41157014853556,-149.500852203553,2530,-47.969423695896815
2,-149.49288685110145,-126.56062541120086,6325,-43.76892974240043
3,-126.553374610283,-103.68079499087416,8854,-23.831496644489864
4,-103.6792641471697,-62.55138504861373,18973,-10.59322288486423
5,-62.5500492183619,1.8416206261504864,25298,-1.744252000822626
6,1.8417203835120777,67.87420732718256,25298,-0.6555867633468103
7,67.88170529805144,110.41932047741088,18973,10.303669719881858
8,110.42391444401431,133.47625853581002,8854,25.858352958476413
9,133.47748978101433,155.82334861096294,6325,45.70668395676391
10,155.83650281929366,170.59534602598995,2530,59.033573421904705
11,170.61719912973766,200.7296633434475,1265,69.50577262629824
