date,FCT_Ar_1@40
2012-12-03,
2012-12-04,
2012-12-05,
2012-12-06,
2012-12-07,
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,
2012-12-14,
2012-12-17,
2012-12-18,
2012-12-19,
2012-12-20,
2012-12-21,
2012-12-24,
2012-12-25,
2012-12-26,
2012-12-27,
2012-12-28,
2012-12-31,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,0.0893251616482507
2013-01-31,0.12912975508076913
2013-02-01,0.13234051542036107
2013-02-04,0.1411789167273081
2013-02-05,0.15951047500518337
2013-02-06,0.14394838709677196
2013-02-07,0.11232513019503503
2013-02-08,0.1688694644831738
2013-02-18,0.14651938307627985
2013-02-19,0.14895185926471946
2013-02-20,0.11609330067099595
2013-02-21,0.0575690723815509
2013-02-22,0.051497882574369505
2013-02-25,0.035930014580294045
2013-02-26,0.03367902248690687
2013-02-27,0.04655724166408459
2013-02-28,0.05315597555338573
2013-03-01,0.017025410297049067
2013-03-04,-0.01800696727344172
2013-03-05,-0.027237733274863046
2013-03-06,-0.028830232784651032
2013-03-07,-0.047386419149976246
2013-03-08,-0.11798532619472586
2013-03-11,-0.14902137458076867
2013-03-12,-0.18125318390219133
2013-03-13,-0.2292309222962899
2013-03-14,-0.2339117501239468
2013-03-15,-0.18686496834045085
2013-03-18,-0.24302225811335995
2013-03-19,-0.21627146361406338
2013-03-20,-0.16921786538058295
2013-03-21,-0.161664644759745
2013-03-22,-0.1309102605339333
2013-03-25,-0.13883410037256122
2013-03-26,-0.1368455749052349
2013-03-27,-0.13048312670261816
2013-03-28,-0.13282477002467993
2013-03-29,-0.1244530600941561
2013-04-01,-0.16801496890649853
2013-04-02,-0.1525129982668968
2013-04-03,-0.13867355727820802
2013-04-08,-0.13065755764304007
2013-04-09,-0.13504273504273512
2013-04-10,-0.19930069930069857
2013-04-11,-0.21180555555555508
2013-04-12,-0.20035149384885684
2013-04-15,-0.18518518518518454
2013-04-16,-0.18412162162162138
2013-04-17,-0.21923390383048044
2013-04-18,-0.19648562300319494
2013-04-19,-0.17749603803486524
2013-04-22,-0.1472244569589705
2013-04-23,-0.16108452950558252
2013-04-24,-0.17703349282296685
2013-04-25,-0.17882919005613504
2013-04-26,-0.19873317498020607
2013-05-02,-0.21202531645569622
2013-05-03,-0.17721518987341844
2013-05-06,-0.15245901639344348
2013-05-07,-0.10344827586206987
2013-05-08,-0.08944399677679353
2013-05-09,-0.08259823576583894
2013-05-10,-0.03942075623491642
2013-05-13,-0.008000000000000758
2013-05-14,-0.004003202562050115
2013-05-15,0.018003273322422183
2013-05-16,0.066773934030571
2013-05-17,0.055053410024650626
2013-05-20,0.05079100749375588
2013-05-21,0.04173622704507593
2013-05-22,0.020373514431240036
2013-05-23,-0.004205214465937266
2013-05-24,-0.018487394957983128
2013-05-27,-0.013289036544850273
2013-05-28,0.0016778523489942084
2013-05-29,0.009159034138219608
2013-05-30,-0.009884678747939449
2013-05-31,-0.027960526315788176
2013-06-03,-0.009174311926604388
2013-06-04,0.0033057851239679686
2013-06-05,0.010629599345871776
2013-06-06,-0.023868312757200243
2013-06-07,-0.03565640194489338
2013-06-13,0.005649717514124511
2013-06-14,0.0016233766233771266
2013-06-17,-0.004870129870129256
2013-06-18,-0.00734693877550957
2013-06-19,-0.019966722129782757
2013-06-20,0.011274934952299165
2013-06-21,0.002598092893261291
2013-06-24,-0.02008274722286822
2013-06-25,-0.010483745489039305
2013-06-26,-0.016536453354211417
2013-06-27,0.004464511131238796
2013-06-28,0.01429538138351891
2013-07-01,0.03256331068560931
2013-07-02,0.04331956110598469
2013-07-03,0.027520950467040072
2013-07-04,0.03771910963503585
2013-07-05,-0.016144883924711098
2013-07-08,-0.046526129584159935
2013-07-09,-0.0485099522421025
2013-07-10,-0.05395809572378991
2013-07-11,-0.054588454578680425
2013-07-12,-0.046372090375239476
2013-07-15,-0.025069506620799948
2013-07-16,-0.056161423367292476
2013-07-17,-0.055008613174672434
2013-07-18,-0.06618745278503586
2013-07-19,-0.06431714497866468
2013-07-22,-0.09438917486184678
2013-07-23,-0.07203672127373358
2013-07-24,-0.05720382556762599
2013-07-25,-0.06603818376915963
2013-07-26,-0.07117379433189508
2013-07-29,-0.08089381706076912
2013-07-30,-0.04311717869814101
2013-07-31,-0.006411609620653214
2013-08-01,0.0010961423413538426
2013-08-02,-0.03141433064031053
2013-08-05,-0.06118417175296829
2013-08-06,-0.062025089500140206
2013-08-07,-0.027245493935842607
2013-08-08,-0.04123321453157809
2013-08-09,-0.0318476045659531
2013-08-12,-0.015795314587625436
2013-08-13,0.007441761690851133
2013-08-14,0.03357362951832518
2013-08-15,0.06377551020407825
2013-08-16,0.045632333767923645
2013-08-19,0.10996119016817232
2013-08-20,0.05776636713735152
2013-08-21,0.09139072847681717
2013-08-22,0.09090909090908646
2013-08-23,0.07180851063829373
2013-08-26,0.07898259705488177
2013-08-27,0.057220708446861814
2013-08-28,0.029601029601025366
2013-08-29,-0.0025188916876621946
2013-08-30,0.013941698352340168
2013-09-02,0.034307496823375354
2013-09-03,0.02512562814069926
2013-09-04,-0.006321112515807658
2013-09-05,-0.0274509803921613
2013-09-06,-0.027166882276847545
2013-09-09,-0.03183023872679507
2013-09-10,-0.04405874499332875
2013-09-11,-0.04619565217391724
2013-09-12,-0.046195652173917266
2013-09-13,-0.047879616963068354
2013-09-16,-0.015130674002755239
2013-09-17,-0.045020463847207676
2013-09-18,-0.054644808743173824
2013-09-23,-0.05787348586810679
2013-09-24,-0.040650406504069654
2013-09-25,-0.024456521739134623
2013-09-26,-0.04557640750670624
2013-09-27,-0.07936507936508297
2013-09-30,-0.07611548556430808
2013-10-08,-0.07012987012987346
2013-10-09,-0.04627249357326779
2013-10-10,-0.02583979328165645
2013-10-11,-0.04073587385019981
2013-10-14,-0.07001321003963207
2013-10-15,-0.04874835309618083
2013-10-16,-0.0836653386454198
2013-10-17,-0.10052910052910159
2013-10-18,-0.1218206157965204
2013-10-21,-0.08874172185430607
2013-10-22,-0.08993288590604144
2013-10-23,-0.14718019257221493
2013-10-24,-0.12215909090909095
2013-10-25,-0.13649025069637902
2013-10-28,-0.13055555555555548
2013-10-29,-0.12517580872011266
2013-10-30,-0.13597733711048182
2013-10-31,-0.11336869319544736
2013-11-01,-0.08344015954731358
2013-11-04,-0.05853526941753141
2013-11-05,-0.06362792786935453
2013-11-06,-0.06960485749035776
2013-11-07,-0.03806006257473257
2013-11-08,-0.025704955219208524
2013-11-11,-0.0497921247349516
2013-11-12,-0.055578058924481914
2013-11-13,-0.04119965969596291
2013-11-14,-0.03460687261297804
2013-11-15,-0.034774878154890485
2013-11-18,-0.026417308360570355
2013-11-19,-0.005013137402064962
2013-11-20,-0.010143250039692669
2013-11-21,0.017290301454655085
2013-11-22,0.024383433412934714
2013-11-25,0.03895636356746193
2013-11-26,0.055371425684135694
2013-11-27,0.046673586967863195
2013-11-28,0.07436635409896834
2013-11-29,0.10488286528542512
2013-12-02,0.10056818758160087
2013-12-03,0.08877604880824728
2013-12-04,0.052762485856112665
2013-12-05,0.037106464145463584
2013-12-06,0.013625110627404858
2013-12-09,0.02942620035031994
2013-12-10,-0.004124420266050206
2013-12-11,0.010133873389867518
2013-12-12,0.10358484696197033
2013-12-13,0.056950454993297116
2013-12-16,-0.003988748635891713
2013-12-17,0.0017358886235187678
2013-12-18,0.009561643389891142
2013-12-19,0.01930267332762921
2013-12-20,-0.033604863187057195
2013-12-23,-0.07719834559538777
2013-12-24,-0.07074732013294241
2013-12-25,-0.04961832061068937
2013-12-26,-0.08737864077670168
2013-12-27,-0.07782101167315444
2013-12-30,-0.056092843326889005
2013-12-31,-0.07806691449814387
2014-01-02,-0.09328358208955329
