date,FCT_Bias_1@40
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,5.195375195832657
2015-06-15,4.431127838973823
2015-06-16,3.2479599665529664
2015-06-17,3.506358457904858
2015-06-18,2.3503103132142424
2015-06-19,0.8746876630850586
2015-06-23,0.4865759922930972
2015-06-24,0.795628829637676
2015-06-25,-0.6970095414902613
2015-06-26,-2.2224120855625684
2015-06-29,-3.765188747403063
2015-06-30,-2.5643155217933042
2015-07-01,-3.9109267395892267
2015-07-02,-3.5181252155544516
2015-07-03,-3.840626736225138
2015-07-06,-3.575839954301107
2015-07-07,-4.867236827127341
2015-07-08,-5.410392118370312
2015-07-09,-4.384196472810842
2015-07-10,-3.311584305001823
2015-07-13,-2.7028060539201646
2015-07-14,-2.5376022267019085
2015-07-15,-3.1630372118112398
2015-07-16,-2.4686534663513275
2015-07-17,-1.5050793921624928
2015-07-20,-1.8038111397947434
2015-07-21,-1.5643860719727831
2015-07-22,-1.4128417389619503
2015-07-23,-0.47918792517287645
2015-07-24,-0.9997655123173579
2015-07-27,-1.7905371849220055
2015-07-28,-1.8708933022827288
2015-07-29,-1.0781884210513961
2015-07-30,-1.618306557680286
2015-07-31,-1.3154532454572918
2015-08-03,-1.6891067470946288
2015-08-04,-0.7405611853423208
2015-08-05,-0.895502121318154
2015-08-06,-0.7116812691804315
2015-08-07,-0.15603937830567455
2015-08-10,0.6340192468440572
2015-08-11,0.5432945029780376
2015-08-12,0.4570397412419796
2015-08-13,0.9376120657420085
2015-08-14,1.094948611217886
2015-08-17,1.5356686316747787
2015-08-18,0.28687396438767876
2015-08-19,0.8663493786553987
2015-08-20,0.6680796941106352
2015-08-21,0.1309006407723191
2015-08-24,-0.9640472195117261
2015-08-25,-1.9865849538427123
2015-08-26,-2.745030142413153
2015-08-27,-1.8304316161904441
2015-08-28,-1.026655558044591
2015-08-31,-1.8078949958579449
2015-09-01,-2.825822507756735
2015-09-02,-2.8590785250671877
2015-09-07,-2.106621750911748
2015-09-08,-1.0404157493522632
2015-09-09,-1.0613954423004814
2015-09-10,-1.1335786260632315
2015-09-11,-0.9632120409375053
2015-09-14,-2.1770666952617184
2015-09-15,-2.3042350231063202
2015-09-16,-1.5100310523675018
2015-09-17,-1.6411164895162615
2015-09-18,-1.319143318129245
2015-09-21,-0.5616094547237882
2015-09-22,-0.7069188222668891
2015-09-23,-0.9037930065986496
2015-09-24,-0.6303661078889667
2015-09-25,-1.2732762665885748
2015-09-28,-0.7910699341658021
2015-09-29,-0.9389245089968941
2015-09-30,-0.9148119978835321
2015-10-08,-0.22917466867558908
2015-10-09,0.2887598166819786
