quantile_layer,min,max,count,avg_profit
0,-0.6249270286793194,-0.2914420261033776,1431,-105.50994183729836
1,-0.2913860496638857,-0.2376084065794364,2862,-56.977032884097476
2,-0.2376024097825061,-0.1791580443977981,7155,-43.576243244767625
3,-0.1791541095131347,-0.1318193489814611,10016,-27.538921427773023
4,-0.1318188467494408,-0.0641137740920841,21464,-14.379605111804457
5,-0.0641127747121379,-2.5100253215407098e-06,25510,-6.702792203075742
6,1.437742294156663e-06,0.0687625312971237,27813,1.9363622924095125
7,0.0687733647318177,0.1348644694269617,21464,14.430586806514901
8,0.1348703218301702,0.1804579409367827,10016,28.60384809709438
9,0.1804619411746876,0.2391283259030143,7155,48.35591123592081
10,0.2391343365686312,0.2916972999402361,2862,69.5489434538395
11,0.2917094771777813,0.6532415293695104,1431,148.04196826799128
