date,Amihud@20
2014-08-08,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-18,
2014-08-19,
2014-08-20,
2014-08-21,
2014-08-22,
2014-08-25,
2014-08-26,
2014-08-27,
2014-08-28,
2014-08-29,
2014-09-01,
2014-09-02,
2014-09-03,
2014-09-04,
2014-09-05,0.13233903513715822
2014-09-09,0.15225508350469125
2014-09-10,0.1660916525821436
2014-09-11,0.17796409484233294
2014-09-12,0.21812341532686624
2014-09-15,0.26114821969103263
2014-09-16,0.27231123569752586
2014-09-17,0.31459455254737645
2014-09-18,0.3497556475334693
2014-09-19,0.3855371693425919
2014-09-22,0.44441733466395067
2014-09-23,0.4570843572955421
2014-09-24,0.48922026818599906
2014-09-25,0.5168925134935658
2014-09-26,0.5289582191528927
2014-09-29,0.5702141705148288
2014-09-30,0.6051395590971825
2014-10-08,0.6477319596129586
2014-10-09,0.7633493652314872
2014-10-10,0.8328725966520831
2014-10-13,0.8468203687968796
2014-10-14,0.8933661405413929
2014-10-15,0.9358307020352085
2014-10-16,0.9680984204967468
2014-10-17,0.9668124686038425
2014-10-20,1.0578808743763966
2014-10-21,1.1081679449165878
2014-10-22,1.2206237864661602
2014-10-23,1.3321684280678072
2014-10-24,1.4533765198107498
2014-10-27,1.5458552388388198
2014-10-28,1.6026748369703188
2014-10-29,1.5978979608288657
2014-10-30,1.703066009836104
2014-10-31,1.7718393794512328
2014-11-03,1.8004161600525121
2014-11-04,1.8080362644859704
2014-11-05,1.8661614569502225
2014-11-06,1.9751021499095736
2014-11-07,2.002193463597679
2014-11-10,2.0198281750933655
2014-11-11,1.9511111008901094
2014-11-12,1.9136900265997336
2014-11-13,1.868557615545888
2014-11-14,1.8757797635170121
2014-11-17,2.189221133066172
2014-11-18,2.147591922519811
2014-11-19,2.189693398431079
2014-11-20,2.05237171553762
2014-11-21,1.95203860039233
2014-11-24,2.166872580341365
2014-11-25,2.7402979305004624
2014-11-26,2.9492201058412273
2014-11-27,2.864541435280913
2014-11-28,2.84962977247157
2014-12-01,2.820262480634765
2014-12-02,2.8717241470551587
2014-12-03,2.9111954540484195
2014-12-04,2.9533023241634093
2014-12-05,3.0384068617600155
2014-12-08,3.301839255690704
2014-12-09,4.6977247995687375
2014-12-10,6.639547669407189
2014-12-11,7.174350877005048
2014-12-12,7.890573847555965
2014-12-15,13.440088106173288
2014-12-16,26.504096654469436
2014-12-17,29.076119580238394
2014-12-18,30.864726218818724
2014-12-19,31.429471997655384
2014-12-22,38.21569872352003
2014-12-23,40.939904669787836
2014-12-24,50.848425461569356
2014-12-25,73367622.3260924
2014-12-26,73367645.74101052
2014-12-29,73367656.26261742
2014-12-30,73367658.28352554
2014-12-31,73367665.60253817
2015-01-05,73367669.1836827
2015-01-06,73367668.99528956
2015-01-07,73367669.41020025
2015-01-08,73367672.69420958
2015-01-09,73367671.19786295
2015-01-12,73367672.29730883
2015-01-13,73367672.60704821
2015-01-14,73367666.60536784
2015-01-15,73367654.49154931
2015-01-16,73367657.90313402
2015-01-19,73367657.13480921
2015-01-20,73367659.73420762
2015-01-21,73367658.16857633
2015-01-22,73367655.8497157
2015-01-23,73367646.86176057
2015-01-26,89.97628762224059
2015-01-27,82.79806359893155
2015-01-28,74.2095196870736
2015-01-29,73.74711946065189
2015-01-30,69.69145965181731
2015-02-02,68.94687572842247
2015-02-03,76.25681709659987
2015-02-04,76.47607797807251
2015-02-05,83.57173060929807
2015-02-06,97.88783158119857
2015-02-09,100.03654822071825
2015-02-10,99.4924491106325
2015-02-11,101.91492957938209
2015-02-12,107.39521466810082
2015-02-13,117.95874996491288
2015-02-16,123.87318275527797
2015-02-17,123.22564817450537
2015-02-25,135.0725799092363
2015-02-26,138.84765156247997
2015-02-27,139.39955061179973
2015-03-02,128.97680329714842
2015-03-03,116.52502955416303
2015-03-04,137.04604619328202
2015-03-05,168.3355001086919
2015-03-06,176.69779481063614
2015-03-09,174.285393388936
2015-03-10,178.69878027398218
2015-03-11,182.44312716472294
2015-03-12,318.1891424015474
2015-03-13,321.73778028952034
2015-03-16,340.43430041138845
2015-03-17,374.5350826720419
2015-03-18,380.008377568472
2015-03-19,138614234.93957236
2015-03-20,138614223.1262573
2015-03-23,138614226.04351023
